2018-07-17 23:34:15,722 INFO  [SitePage] Перевіряємо, чи ціна в секції "Популярні товари" вказана у відповідності з встановленою валютою в шапці сайту. 
2018-07-17 23:34:16,125 INFO  [SitePage] Відкриваємо випадаючий список валют. 
2018-07-17 23:34:19,471 INFO  [SitePage] Встановлюємо валюту USD. 
2018-07-17 23:34:21,027 INFO  [SitePage] Виконуємо пошук в каталозі. 
2018-07-17 23:34:21,062 INFO  [SitePage] Перевіряємо, чи сторінка "Результати пошуку"  містить напис "Товаров: Х". 
2018-07-17 23:34:21,082 INFO  [SitePage] Перевіряємо, чи в написі "Товаров: Х" Х відповідає дійсно знайденим товарам. 
2018-07-17 23:34:21,117 INFO  [SitePage] Перевіряємо, чи ціна показаних товарів відображається в доларах. 
2018-07-17 23:34:21,456 INFO  [SitePage] Відкриваємо випадаючий список з варіантами сортування товару. 
2018-07-17 23:34:23,585 INFO  [SitePage] Вибираємо сортування "Від високої до низької". 
2018-07-17 23:34:25,611 INFO  [SitePage] Перевіряємо, чи товари відсортовані правильно по ціні, з урахуванням того що у товарів зі знижкою, ціна при сортуванні використовується без знижки 
2018-07-17 23:34:25,921 INFO  [SitePage] Перевіряємо, що в товарів зі знижкою, ціна до і після знижки співпадає з вказаним розміром знижки. 
2018-07-18 11:18:53,406 INFO  [SitePage] Перевіряємо, чи ціна в секції "Популярні товари" вказана у відповідності з встановленою валютою в шапці сайту. 
2018-07-18 11:18:53,818 INFO  [SitePage] Відкриваємо випадаючий список валют. 
2018-07-18 11:18:57,196 INFO  [SitePage] Встановлюємо валюту USD. 
2018-07-18 11:18:58,793 INFO  [SitePage] Виконуємо пошук в каталозі. 
2018-07-18 11:18:58,828 INFO  [SitePage] Перевіряємо, чи сторінка "Результати пошуку"  містить напис "Товаров: Х". 
2018-07-18 11:18:58,848 INFO  [SitePage] Перевіряємо, чи в написі "Товаров: Х" Х відповідає дійсно знайденим товарам. 
2018-07-18 11:18:58,873 INFO  [SitePage] Перевіряємо, чи ціна показаних товарів відображається в доларах. 
2018-07-18 11:18:59,184 INFO  [SitePage] Відкриваємо випадаючий список з варіантами сортування товару. 
2018-07-18 11:19:01,306 INFO  [SitePage] Вибираємо сортування "Від високої до низької". 
2018-07-18 11:19:03,335 INFO  [SitePage] Перевіряємо, чи товари відсортовані правильно по ціні, з урахуванням того що у товарів зі знижкою, ціна при сортуванні використовується без знижки 
2018-07-18 11:19:03,556 INFO  [SitePage] Перевіряємо, що в товарів зі знижкою, ціна до і після знижки співпадає з вказаним розміром знижки. 
2018-07-18 11:30:08,342 INFO  [PestashopTests] Відкриваємо головну сторінку сайту. 
2018-07-18 11:30:08,445 INFO  [SitePage] Перевіряємо, чи ціна в секції "Популярні товари" вказана у відповідності з встановленою валютою в шапці сайту. 
2018-07-18 11:30:08,805 INFO  [SitePage] Відкриваємо випадаючий список валют. 
2018-07-18 11:30:12,417 INFO  [SitePage] Встановлюємо валюту USD. 
2018-07-18 11:30:13,895 INFO  [SitePage] Виконуємо пошук в каталозі. 
2018-07-18 11:30:13,933 INFO  [SitePage] Перевіряємо, чи сторінка "Результати пошуку"  містить напис "Товаров: Х". 
2018-07-18 11:30:13,951 INFO  [SitePage] Перевіряємо, чи в написі "Товаров: Х" Х відповідає дійсно знайденим товарам. 
2018-07-18 11:30:13,977 INFO  [SitePage] Перевіряємо, чи ціна показаних товарів відображається в доларах. 
2018-07-18 11:30:14,280 INFO  [SitePage] Відкриваємо випадаючий список з варіантами сортування товару. 
2018-07-18 11:30:16,399 INFO  [SitePage] Вибираємо сортування "Від високої до низької". 
2018-07-18 11:30:18,430 INFO  [SitePage] Перевіряємо, чи товари відсортовані правильно по ціні, з урахуванням того що у товарів зі знижкою, ціна при сортуванні використовується без знижки 
2018-07-18 11:30:18,630 INFO  [SitePage] Перевіряємо, що в товарів зі знижкою, ціна до і після знижки співпадає з вказаним розміром знижки. 
